Interval*,Id*,Category_Name,Observed_Annual_Loss_number_of_elements,Loss_Intensity_percent_of_t1_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Loss_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t1_category,Omission_Intensity_percent_of_t1_category,Hypothesized_t1_Error_percent_of_interval_domain
6,5,Cropland,0,0.00,1.58,317,317,0.00,100.00,0.35
6,6,Non-Vegetation,5,0.05,1.58,156,151,0.00,96.80,0.35
7,1,Forest,5480,1.56,1.18,4110,1370,25.00,0.00,0.29
7,2,Mosaic Vegetation,0,0.00,1.18,316,316,0.00,100.00,0.29
7,3,Shrubland,92,0.14,1.18,767,675,0.00,88.00,0.29
7,4,Other Vegetation,0,0.00,1.18,12,12,0.00,100.00,0.29
7,5,Cropland,1,0.00,1.18,251,250,0.00,99.60,0.29
7,6,Non-Vegetation,0,0.00,1.18,116,116,0.00,100.00,0.29
8,1,Forest,13016,3.77,2.77,9462,3554,27.30,0.00,0.75
8,2,Mosaic Vegetation,0,0.00,2.77,801,801,0.00,100.00,0.75
8,3,Shrubland,100,0.15,2.77,1929,1829,0.00,94.81,0.75
8,4,Other Vegetation,0,0.00,2.77,30,30,0.00,100.00,0.75
8,5,Cropland,3,0.01,2.77,620,617,0.00,99.52,0.75
8,6,Non-Vegetation,0,0.00,2.77,278,278,0.00,100.00,0.75
9,1,Forest,10743,3.24,2.33,7665,3078,28.65,0.00,0.65
9,2,Mosaic Vegetation,0,0.00,2.33,746,746,0.00,100.00,0.65
9,3,Shrubland,275,0.36,2.33,1826,1551,0.00,84.94,0.65
9,4,Other Vegetation,0,0.00,2.33,25,25,0.00,100.00,0.65
9,5,Cropland,0,0.00,2.33,538,538,0.00,100.00,0.65
9,6,Non-Vegetation,15,0.15,2.33,232,217,0.00,93.54,0.65
10,1,Forest,15321,4.77,3.25,10271,5050,32.96,0.00,1.07
10,2,Mosaic Vegetation,2,0.01,3.25,1155,1153,0.00,99.83,1.07
10,3,Shrubland,54,0.06,3.25,2813,2759,0.00,98.08,1.07
10,4,Other Vegetation,0,0.00,3.25,36,36,0.00,100.00,1.07
10,5,Cropland,0,0.00,3.25,776,776,0.00,100.00,1.07
10,6,Non-Vegetation,0,0.00,3.25,327,327,0.00,100.00,1.07
11,1,Forest,1482,0.48,0.37,1116,366,24.70,0.00,0.08
11,2,Mosaic Vegetation,20,0.05,0.37,139,119,0.00,85.62,0.08
11,3,Shrubland,209,0.22,0.37,348,139,0.00,39.89,0.08
11,4,Other Vegetation,0,0.00,0.37,4,4,0.00,100.00,0.08
11,5,Cropland,18,0.08,0.37,87,69,0.00,79.19,0.08
11,6,Non-Vegetation,0,0.00,0.37,36,36,0.00,100.00,0.08
12,1,Forest,13099,4.30,2.80,8395,4704,35.91,0.00,0.99
12,2,Mosaic Vegetation,8,0.02,2.80,1104,1096,0.00,99.28,0.99
12,3,Shrubland,143,0.15,2.80,2757,2614,0.00,94.81,0.99
12,4,Other Vegetation,0,0.00,2.80,32,32,0.00,100.00,0.99
12,5,Cropland,1,0.00,2.80,683,682,0.00,99.85,0.99
12,6,Non-Vegetation,0,0.00,2.80,280,280,0.00,100.00,0.99
13,1,Forest,824,0.28,0.20,585,239,29.06,0.00,0.05
13,2,Mosaic Vegetation,13,0.03,0.20,81,68,0.00,84.02,0.05
13,3,Shrubland,100,0.09,0.20,214,114,0.00,53.27,0.05
13,4,Other Vegetation,0,0.00,0.20,2,2,0.00,100.00,0.05
13,5,Cropland,1,0.00,0.20,48,47,0.00,97.93,0.05
13,6,Non-Vegetation,12,0.12,0.20,20,8,0.00,38.62,0.05
14,1,Forest,238,0.08,0.11,318,80,0.00,25.22,0.03
14,2,Mosaic Vegetation,12,0.03,0.11,45,33,0.00,73.11,0.03
14,3,Shrubland,261,0.24,0.11,117,144,55.25,0.00,0.03
14,4,Other Vegetation,0,0.00,0.11,1,1,0.00,100.00,0.03
14,5,Cropland,2,0.01,0.11,26,24,0.00,92.44,0.03
14,6,Non-Vegetation,5,0.05,0.11,11,6,0.00,53.05,0.03
15,1,Forest,756,0.26,0.22,640,116,15.31,0.00,0.02
15,2,Mosaic Vegetation,35,0.09,0.22,90,55,0.00,61.20,0.02
15,3,Shrubland,231,0.22,0.22,235,4,0.00,1.77,0.02
15,4,Other Vegetation,2,0.18,0.22,2,0,0.00,17.75,0.02
15,5,Cropland,5,0.02,0.22,53,48,0.00,90.65,0.02
15,6,Non-Vegetation,14,0.14,0.22,21,7,0.00,34.71,0.02
16,1,Forest,562,0.19,0.19,549,13,2.28,0.00,0.02
16,2,Mosaic Vegetation,38,0.09,0.19,78,40,0.00,51.26,0.02
16,3,Shrubland,271,0.25,0.19,202,69,25.34,0.00,0.02
16,4,Other Vegetation,0,0.00,0.19,2,2,0.00,100.00,0.02
16,5,Cropland,20,0.08,0.19,46,26,0.00,56.56,0.02
16,6,Non-Vegetation,5,0.05,0.19,18,13,0.00,72.84,0.02
17,1,Forest,889,0.31,0.23,670,219,24.59,0.00,0.05
17,2,Mosaic Vegetation,41,0.10,0.23,96,55,0.00,57.36,0.05
17,3,Shrubland,124,0.12,0.23,248,124,0.00,49.97,0.05
17,4,Other Vegetation,0,0.00,0.23,3,3,0.00,100.00,0.05
17,5,Cropland,16,0.07,0.23,57,41,0.00,71.69,0.05
17,6,Non-Vegetation,26,0.27,0.23,22,4,13.57,0.00,0.05
18,1,Forest,1407,0.49,0.34,989,418,29.68,0.00,0.09
18,2,Mosaic Vegetation,31,0.07,0.34,144,113,0.00,78.49,0.09
18,3,Shrubland,172,0.16,0.34,368,196,0.00,53.30,0.09
