Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
22, 1, 1, Forest, Forest, 284878, 
22, 1, 2, Forest, Other Vegetation, 974, 
22, 1, 3, Forest, Cropland, 100, 
22, 1, 4, Forest, Non-Forest, 2, 
22, 2, 1, Other Vegetation, Forest, 48, 
22, 2, 2, Other Vegetation, Other Vegetation, 152633, 
22, 2, 3, Other Vegetation, Cropland, 23, 
22, 2, 4, Other Vegetation, Non-Forest, 7, 
22, 3, 1, Cropland, Forest, 27, 
22, 3, 2, Cropland, Other Vegetation, 7, 
22, 3, 3, Cropland, Cropland, 24890, 
22, 3, 4, Cropland, Non-Forest, 26, 
22, 4, 1, Non-Forest, Forest, 1, 
22, 4, 2, Non-Forest, Other Vegetation, 0, 
22, 4, 3, Non-Forest, Cropland, 0, 
22, 4, 4, Non-Forest, Non-Forest, 9706, 
