Interval*, Id_From*, Id_To_*, Category_name_From, Category_name_To_, Observed_Annual_Transition_number_of_elements, Transition_Intensity_percent_of_t1_category, Uniform_Intensity_percent_of_non_category, Uniform_Annual_Transition_number_of_elements, Hypothesized_Annual_error_number_of_elements, Commission_Intensity_percent_of_transition, Omission_Intensity_percent_of_transition, 
18, 4, 1, Non-Forest, Forest, 1, 0.0103263114415531, 0.00425708171295764, 0.412230771266467, 0.587769228733533, 58.7769228733533, 0, 
18, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.047739719118574, 4.6253225154199, 4.6253225154199, 0, 100, 
18, 4, 3, Non-Forest, Cropland, 0, 0, 0.00463091760761922, 0.448478829806941, 0.448478829806941, 0, 100, 
18, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000103924320923846, 0, 0, 0, 0, 
19, 1, 1, Forest, Forest, 0, 0, 0.0021083168884616, 0, 0, 0, 0, 
19, 1, 2, Forest, Other Vegetation, 1044, 0.362898179947442, 0.0387253353675974, 111.045303964051, 932.954696035949, 89.3634766317959, 0, 
19, 1, 3, Forest, Cropland, 155, 0.0538785611990934, 0.00619804134929271, 17.8222709429303, 137.17772905707, 88.5017606819805, 0, 
19, 1, 4, Forest, Non-Forest, 0, 0, 3.46414643085529e-05, 0.0996579847044026, 0.0996579847044026, 0, 100, 
19, 2, 1, Other Vegetation, Forest, 42, 0.0277361368844394, 0.0021083168884616, 3.19174281365037, 38.8082571863496, 92.4006123484515, 0, 
19, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.0387253353675974, 0, 0, 0, 0, 
19, 2, 3, Other Vegetation, Cropland, 22, 0.014528452653754, 0.00619804134929271, 9.38472617410542, 12.6152738258946, 57.3421537540663, 0, 
19, 2, 4, Other Vegetation, Non-Forest, 0, 0, 3.46414643085529e-05, 0.0524565483302289, 0.0524565483302289, 0, 100, 
19, 3, 1, Cropland, Forest, 5, 0.0203873598369011, 0.0021083168884616, 0.516970200420828, 4.48302979957917, 89.6605959915834, 0, 
19, 3, 2, Cropland, Other Vegetation, 18, 0.073394495412844, 0.0387253353675974, 9.49409455849499, 8.50590544150501, 47.2550302305834, 0, 
19, 3, 3, Cropland, Cropland, 0, 0, 0.00619804134929271, 0, 0, 0, 0, 
19, 3, 4, Cropland, Non-Forest, 1, 0.00407747196738022, 3.46414643085529e-05, 0.00849547564998676, 0.991504524350013, 99.1504524350013, 0, 
19, 4, 1, Non-Forest, Forest, 8, 0.0825934338220111, 0.0021083168884616, 0.204047210427112, 7.79595278957289, 97.4494098696611, 0, 
19, 4, 2, Non-Forest, Other Vegetation, 1, 0.0103241792277514, 0.0387253353675974, 3.7520017055953, 2.7520017055953, 0, 73.3475600901589, 
19, 4, 3, Non-Forest, Cropland, 1, 0.0103241792277514, 0.00619804134929271, 0.600317512606657, 0.399682487393343, 39.9682487393343, 0, 
19, 4, 4, Non-Forest, Non-Forest, 0, 0, 3.46414643085529e-05, 0, 0, 0, 0, 
20, 1, 1, Forest, Forest, 0, 0, 0.00249055504892983, 0, 0, 0, 0, 
20, 1, 2, Forest, Other Vegetation, 172, 0.0600265233475256, 0.00626828096767681, 17.9514760904759, 154.048523909524, 89.5630952962349, 0, 
20, 1, 3, Forest, Cropland, 7, 0.00244293990367837, 0.00769573367329208, 22.0525136688142, 15.0525136688142, 0, 68.257586844174, 
20, 1, 4, Forest, Non-Forest, 0, 0, 0.000242489494142666, 0.69483108140877, 0.69483108140877, 0, 100, 
20, 2, 1, Other Vegetation, Forest, 63, 0.0413315313660399, 0.00249055504892983, 3.79477890025844, 59.2052210997416, 93.9765414281612, 0, 
20, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.00626828096767681, 0, 0, 0, 0, 
20, 2, 3, Other Vegetation, Cropland, 214, 0.14039599543385, 0.00769573367329208, 11.7147316733414, 202.285268326659, 94.5258263208685, 0, 
20, 2, 4, Other Vegetation, Non-Forest, 3, 0.00196816816028761, 0.000242489494142666, 0.369610657924091, 2.63038934207591, 87.6796447358636, 0, 
20, 3, 1, Cropland, Forest, 1, 0.00405202804003404, 0.00249055504892983, 0.614634482785046, 0.385365517214954, 38.5365517214954, 0, 
20, 3, 2, Cropland, Other Vegetation, 0, 0, 0.00626828096767681, 1.54704603320502, 1.54704603320502, 0, 100, 
20, 3, 3, Cropland, Cropland, 0, 0, 0.00769573367329208, 0, 0, 0, 0, 
20, 3, 4, Cropland, Non-Forest, 4, 0.0162081121601361, 0.000242489494142666, 0.0598344277719041, 3.9401655722281, 98.5041393057024, 0, 
20, 4, 1, Non-Forest, Forest, 1, 0.0103337811305157, 0.00249055504892983, 0.240992108575578, 0.759007891424422, 75.9007891424422, 0, 
20, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.00626828096767681, 0.606619573861379, 0.606619573861379, 0, 100, 
20, 4, 3, Non-Forest, Cropland, 0, 0, 0.00769573367329208, 0.744773463346683, 0.744773463346683, 0, 100, 
20, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000242489494142666, 0, 0, 0, 0, 
22, 1, 1, Forest, Forest, 0, 0, 0.00291137989447014, 0, 0, 0, 0, 
22, 1, 2, Forest, Other Vegetation, 974, 0.340614224665506, 0.0357547812452505, 101.93042059162, 872.06957940838, 89.5348644156448, 0, 
22, 1, 3, Forest, Cropland, 100, 0.0349706596165817, 0.00428355012276028, 12.2452238982185, 87.7547761017815, 87.7547761017815, 0, 
22, 1, 4, Forest, Non-Forest, 2, 0.000699413192331634, 0.00121246007109173, 3.46709585964115, 1.46709585964115, 0, 42.3148340580637, 
22, 2, 1, Other Vegetation, Forest, 48, 0.0314319204248548, 0.00291137989447014, 4.4447292912499, 43.5552707087501, 90.740147309896, 0, 
22, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.0357547812452505, 0, 0, 0, 0, 
22, 2, 3, Other Vegetation, Cropland, 23, 0.0150611285369096, 0.00428355012276028, 6.54074718762439, 16.4592528123756, 71.5619687494592, 0, 
22, 2, 4, Other Vegetation, Non-Forest, 7, 0.00458382172862466, 0.00121246007109173, 1.85149747562752, 5.14850252437248, 73.5500360624639, 0, 
22, 3, 1, Cropland, Forest, 27, 0.108216432865731, 0.00291137989447014, 0.725624336779841, 26.2743756632202, 97.312502456371, 0, 
22, 3, 2, Cropland, Other Vegetation, 7, 0.0280561122244489, 0.0357547812452505, 8.92150495058169, 1.92150495058169, 0, 21.537901522505, 
22, 3, 3, Cropland, Cropland, 0, 0, 0.00428355012276028, 0, 0, 0, 0, 
22, 3, 4, Cropland, Non-Forest, 26, 0.104208416833667, 0.00121246007109173, 0.302197212139433, 25.6978027878606, 98.8377030302329, 0, 
22, 4, 1, Non-Forest, Forest, 1, 0.0103018440300814, 0.00291137989447014, 0.282586759731379, 0.717413240268621, 71.7413240268621, 0, 
22, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.0357547812452505, 3.4719580064666, 3.4719580064666, 0, 100, 
22, 4, 3, Non-Forest, Cropland, 0, 0, 0.00428355012276028, 0.415822022361089, 0.415822022361089, 0, 100, 
22, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.00121246007109173, 0, 0, 0, 0, 
