Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
20,3,Shrubland,8,0.04,0.05,10,2,0.00,18.23,0.01
20,4,Other Vegetation,0,0.00,0.05,0,0,0.00,100.00,0.01
20,5,Cropland,3,0.11,0.05,1,2,52.41,0.00,0.01
20,6,Non-Vegetation,0,0.00,0.05,2,2,0.00,100.00,0.01
21,1,Forest,96,0.15,0.15,98,2,0.00,1.55,0.02
21,2,Mosaic Vegetation,5,0.06,0.15,13,8,0.00,62.52,0.02
21,3,Shrubland,34,0.19,0.15,27,7,20.18,0.00,0.02
21,4,Other Vegetation,0,0.00,0.15,0,0,0.00,100.00,0.02
21,5,Cropland,12,0.45,0.15,4,8,67.12,0.00,0.02
21,6,Non-Vegetation,0,0.00,0.15,5,5,0.00,100.00,0.02
22,1,Forest,179,0.27,0.22,142,37,20.44,0.00,0.04
22,2,Mosaic Vegetation,10,0.11,0.22,20,10,0.00,48.89,0.04
22,3,Shrubland,14,0.08,0.22,40,26,0.00,64.80,0.04
22,4,Other Vegetation,0,0.00,0.22,0,0,0.00,100.00,0.04
22,5,Cropland,11,0.41,0.22,6,5,47.07,0.00,0.04
22,6,Non-Vegetation,1,0.03,0.22,7,6,0.00,86.43,0.04
23,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
23,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
23,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
23,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
23,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
23,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
