"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"156",3,"1994-1995","Non-Vegetation","Gain",0,0,0.86,45,45,0,100,0.66
"157",4,"1995-1996","Forest","Gain",11,0.01,0.19,325,314,0,96.61,0.15
"158",4,"1995-1996","Mosaic Vegetation","Gain",78,0.95,0.19,15,63,80.37,0,0.15
"159",4,"1995-1996","Shrubland","Gain",142,0.63,0.19,43,99,70,0,0.15
"160",4,"1995-1996","Other Vegetation","Gain",0,0,0.19,0,0,0,100,0.15
"161",4,"1995-1996","Cropland","Gain",178,2.02,0.19,16,162,90.85,0,0.15
"162",4,"1995-1996","Non-Vegetation","Gain",0,0,0.19,10,10,0,100,0.15
"163",5,"1996-1997","Forest","Gain",0,0,0.37,633,633,0,100,0.3
"164",5,"1996-1997","Mosaic Vegetation","Gain",181,2.16,0.37,30,151,83.26,0,0.3
"165",5,"1996-1997","Shrubland","Gain",274,1.19,0.37,84,190,69.34,0,0.3
"166",5,"1996-1997","Other Vegetation","Gain",2,0.91,0.37,1,1,59.82,0,0.3
"167",5,"1996-1997","Cropland","Gain",343,3.75,0.37,33,310,90.5,0,0.3
"168",5,"1996-1997","Non-Vegetation","Gain",0,0,0.37,19,19,0,100,0.3
"169",6,"1997-1998","Forest","Gain",5,0,1.46,2479,2474,0,99.8,1.18
"170",6,"1997-1998","Mosaic Vegetation","Gain",722,7.95,1.46,123,599,82.9,0,1.18
"171",6,"1997-1998","Shrubland","Gain",1653,6.73,1.46,338,1315,79.53,0,1.18
"172",6,"1997-1998","Other Vegetation","Gain",0,0,1.46,3,3,0,100,1.18
"173",6,"1997-1998","Cropland","Gain",772,7.79,1.46,135,637,82.52,0,1.18
"174",6,"1997-1998","Non-Vegetation","Gain",3,0.06,1.46,76,73,0,96.05,1.18
"175",7,"1998-1999","Forest","Gain",0,0,1.27,2116,2116,0,100,1
"176",7,"1998-1999","Mosaic Vegetation","Gain",462,4.84,1.27,116,346,74.81,0,1
"177",7,"1998-1999","Shrubland","Gain",1830,6.93,1.27,315,1515,82.8,0,1
"178",7,"1998-1999","Other Vegetation","Gain",5,2.23,1.27,3,2,43.88,0,1
"179",7,"1998-1999","Cropland","Gain",441,4.26,1.27,127,314,71.2,0,1
"180",7,"1998-1999","Non-Vegetation","Gain",5,0.1,1.27,66,61,0,92.42,1
"181",8,"1999-2000","Forest","Gain",0,0,2.83,4631,4631,0,100,2.21
"182",8,"1999-2000","Mosaic Vegetation","Gain",1150,10.75,2.83,278,872,75.83,0,2.21
"183",8,"1999-2000","Shrubland","Gain",4507,14.59,2.83,769,3738,82.94,0,2.21
"184",8,"1999-2000","Other Vegetation","Gain",0,0,2.83,7,7,0,100,2.21
"185",8,"1999-2000","Cropland","Gain",477,4.4,2.83,301,176,36.79,0,2.21
"186",8,"1999-2000","Non-Vegetation","Gain",2,0.04,2.83,150,148,0,98.67,2.21
"187",9,"2000-2001","Forest","Gain",0,0,1.5,2372,2372,0,100,1.13
"188",9,"2000-2001","Mosaic Vegetation","Gain",761,6.64,1.5,163,598,78.61,0,1.13
