Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
19,6,Non-Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.07
20,1,Forest,37,0.05,0.22,176,139,0.00,78.94,0.12
20,2,Mosaic Vegetation,49,0.25,0.22,43,6,11.74,0.00,0.12
20,3,Shrubland,52,0.11,0.22,104,52,0.00,49.76,0.12
20,4,Other Vegetation,0,0.00,0.22,2,2,0.00,100.00,0.12
20,5,Cropland,212,2.01,0.22,23,189,89.17,0.00,0.12
20,6,Non-Vegetation,0,0.00,0.22,3,3,0.00,100.00,0.12
21,1,Forest,6,0.01,0.08,60,54,0.00,89.93,0.04
21,2,Mosaic Vegetation,52,0.27,0.08,15,37,71.70,0.00,0.04
21,3,Shrubland,48,0.10,0.08,35,13,26.73,0.00,0.04
21,4,Other Vegetation,0,0.00,0.08,1,1,0.00,100.00,0.04
21,5,Cropland,3,0.03,0.08,8,5,0.00,62.25,0.04
21,6,Non-Vegetation,10,0.81,0.08,1,9,90.80,0.00,0.04
22,1,Forest,15,0.02,0.20,156,141,0.00,90.38,0.09
22,2,Mosaic Vegetation,53,0.27,0.20,39,14,26.95,0.00,0.09
22,3,Shrubland,202,0.43,0.20,92,110,54.28,0.00,0.09
22,4,Other Vegetation,1,0.12,0.20,2,1,0.00,41.20,0.09
22,5,Cropland,21,0.20,0.20,21,0,0.79,0.00,0.09
22,6,Non-Vegetation,20,1.60,0.20,2,18,87.83,0.00,0.09
23,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
23,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
23,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
23,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
23,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
23,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
