"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"167",5,"1996-1997","Cropland","Gain",14,1.08,0.04,0,14,96.63,0,0.03
"168",5,"1996-1997","Non-Vegetation","Gain",1,0.03,0.04,1,0,0,18.88,0.03
"169",6,"1997-1998","Forest","Gain",0,0,1.4,1127,1127,0,100,1.19
"170",6,"1997-1998","Mosaic Vegetation","Gain",763,15.16,1.4,61,702,92.06,0,1.19
"171",6,"1997-1998","Shrubland","Gain",328,3.73,1.4,120,208,63.34,0,1.19
"172",6,"1997-1998","Other Vegetation","Gain",0,0,1.4,0,0,0,100,1.19
"173",6,"1997-1998","Cropland","Gain",280,17.71,1.4,18,262,93.41,0,1.19
"174",6,"1997-1998","Non-Vegetation","Gain",3,0.09,1.4,48,45,0,93.71,1.19
"175",7,"1998-1999","Forest","Gain",0,0,0.31,245,245,0,100,0.26
"176",7,"1998-1999","Mosaic Vegetation","Gain",93,1.81,0.31,16,77,83.26,0,0.26
"177",7,"1998-1999","Shrubland","Gain",146,1.63,0.31,27,119,81.34,0,0.26
"178",7,"1998-1999","Other Vegetation","Gain",0,0,0.31,0,0,0,100,0.26
"179",7,"1998-1999","Cropland","Gain",64,3.89,0.31,5,59,92.36,0,0.26
"180",7,"1998-1999","Non-Vegetation","Gain",0,0,0.31,10,10,0,100,0.26
"181",8,"1999-2000","Forest","Gain",0,0,2.1,1653,1653,0,100,1.75
"182",8,"1999-2000","Mosaic Vegetation","Gain",753,12.81,2.1,110,643,85.4,0,1.75
"183",8,"1999-2000","Shrubland","Gain",1171,11.57,2.1,192,979,83.61,0,1.75
"184",8,"1999-2000","Other Vegetation","Gain",0,0,2.1,0,0,0,100,1.75
"185",8,"1999-2000","Cropland","Gain",136,7.64,2.1,35,101,74.06,0,1.75
"186",8,"1999-2000","Non-Vegetation","Gain",3,0.09,2.1,72,69,0,95.85,1.75
"187",9,"2000-2001","Forest","Gain",0,0,2.93,2241,2241,0,100,2.38
"188",9,"2000-2001","Mosaic Vegetation","Gain",698,10.61,2.93,178,520,74.56,0,2.38
"189",9,"2000-2001","Shrubland","Gain",1974,16.32,2.93,306,1668,84.52,0,2.38
"190",9,"2000-2001","Other Vegetation","Gain",0,0,2.93,0,0,0,100,2.38
"191",9,"2000-2001","Cropland","Gain",208,10.46,2.93,54,154,74.14,0,2.38
"192",9,"2000-2001","Non-Vegetation","Gain",0,0,2.93,102,102,0,100,2.38
"193",10,"2001-2002","Forest","Gain",0,0,3.58,2622,2622,0,100,2.8
"194",10,"2001-2002","Mosaic Vegetation","Gain",882,11.82,3.58,244,638,72.34,0,2.8
"195",10,"2001-2002","Shrubland","Gain",2450,16.84,3.58,449,2001,81.69,0,2.8
"196",10,"2001-2002","Other Vegetation","Gain",0,0,3.58,0,0,0,100,2.8
"197",10,"2001-2002","Cropland","Gain",182,8.38,3.58,74,108,59.46,0,2.8
"198",10,"2001-2002","Non-Vegetation","Gain",0,0,3.58,125,125,0,100,2.8
"199",11,"2002-2003","Forest","Gain",69,0.1,0.97,683,614,0,89.9,0.66
"200",11,"2002-2003","Mosaic Vegetation","Gain",223,2.91,0.97,73,150,67.3,0,0.66
"201",11,"2002-2003","Shrubland","Gain",564,3.75,0.97,142,422,74.88,0,0.66
"202",11,"2002-2003","Other Vegetation","Gain",0,0,0.97,0,0,0,100,0.66
"203",11,"2002-2003","Cropland","Gain",96,4.24,0.97,21,75,77.89,0,0.66
"204",11,"2002-2003","Non-Vegetation","Gain",0,0,0.97,33,33,0,100,0.66
"205",12,"2003-2004","Forest","Gain",0,0,3.22,2223,2223,0,100,2.38
"206",12,"2003-2004","Mosaic Vegetation","Gain",506,6.18,3.22,256,250,49.47,0,2.38
"207",12,"2003-2004","Shrubland","Gain",2544,14.48,3.22,501,2043,80.33,0,2.38
"208",12,"2003-2004","Other Vegetation","Gain",0,0,3.22,0,0,0,100,2.38
"209",12,"2003-2004","Cropland","Gain",117,4.91,3.22,75,42,35.52,0,2.38
"210",12,"2003-2004","Non-Vegetation","Gain",0,0,3.22,112,112,0,100,2.38
"211",13,"2004-2005","Forest","Gain",36,0.05,0.17,114,78,0,68.44,0.08
"212",13,"2004-2005","Mosaic Vegetation","Gain",62,0.75,0.17,14,48,77.42,0,0.08
"213",13,"2004-2005","Shrubland","Gain",51,0.29,0.17,30,21,41.07,0,0.08
"214",13,"2004-2005","Other Vegetation","Gain",0,0,0.17,0,0,0,100,0.08
"215",13,"2004-2005","Cropland","Gain",18,0.75,0.17,4,14,77.34,0,0.08
"216",13,"2004-2005","Non-Vegetation","Gain",1,0.03,0.17,6,5,0,82.64,0.08
"217",14,"2005-2006","Forest","Gain",24,0.04,0.14,92,68,0,73.98,0.07
"218",14,"2005-2006","Mosaic Vegetation","Gain",52,0.63,0.14,11,41,78.05,0,0.07
"219",14,"2005-2006","Shrubland","Gain",36,0.2,0.14,24,12,32.35,0,0.07
"220",14,"2005-2006","Other Vegetation","Gain",0,0,0.14,0,0,0,100,0.07
"221",14,"2005-2006","Cropland","Gain",23,0.95,0.14,3,20,85.55,0,0.07
"222",14,"2005-2006","Non-Vegetation","Gain",1,0.03,0.14,5,4,0,78.55,0.07
"223",15,"2006-2007","Forest","Gain",122,0.18,0.28,190,68,0,35.72,0.08
"224",15,"2006-2007","Mosaic Vegetation","Gain",86,1.03,0.28,24,62,72.53,0,0.08
"225",15,"2006-2007","Shrubland","Gain",65,0.37,0.28,50,15,23.03,0,0.08
"226",15,"2006-2007","Other Vegetation","Gain",0,0,0.28,0,0,0,100,0.08
"227",15,"2006-2007","Cropland","Gain",6,0.25,0.28,7,1,0,13.18,0.08
"228",15,"2006-2007","Non-Vegetation","Gain",1,0.03,0.28,10,9,0,89.58,0.08
"229",16,"2007-2008","Forest","Gain",46,0.07,0.18,120,74,0,61.62,0.08
"230",16,"2007-2008","Mosaic Vegetation","Gain",60,0.71,0.18,15,45,74.93,0,0.08
"231",16,"2007-2008","Shrubland","Gain",61,0.35,0.18,32,29,48.11,0,0.08
"232",16,"2007-2008","Other Vegetation","Gain",0,0,0.18,0,0,0,100,0.08
"233",16,"2007-2008","Cropland","Gain",10,0.41,0.18,4,6,56.29,0,0.08
"234",16,"2007-2008","Non-Vegetation","Gain",0,0,0.18,6,6,0,100,0.08
"235",17,"2008-2009","Forest","Gain",46,0.07,0.28,184,138,0,74.99,0.15
"236",17,"2008-2009","Mosaic Vegetation","Gain",107,1.26,0.28,23,84,78.28,0,0.15
"237",17,"2008-2009","Shrubland","Gain",97,0.55,0.28,49,48,49.77,0,0.15
"238",17,"2008-2009","Other Vegetation","Gain",0,0,0.28,0,0,0,100,0.15
"239",17,"2008-2009","Cropland","Gain",22,0.9,0.28,7,15,69.32,0,0.15
"240",17,"2008-2009","Non-Vegetation","Gain",0,0,0.28,9,9,0,100,0.15
"241",18,"2009-2010","Forest","Gain",0,0,0.56,368,368,0,100,0.39
"242",18,"2009-2010","Mosaic Vegetation","Gain",218,2.51,0.56,47,171,78.23,0,0.39
"243",18,"2009-2010","Shrubland","Gain",252,1.41,0.56,99,153,60.79,0,0.39
"244",18,"2009-2010","Other Vegetation","Gain",0,0,0.56,0,0,0,100,0.39
