"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"81",14,"2005-2006","Shrubland","Loss",261,0.24,0.11,117,144,55.25,0,0.03
"82",14,"2005-2006","Other Vegetation","Loss",0,0,0.11,1,1,0,100,0.03
"83",14,"2005-2006","Cropland","Loss",2,0.01,0.11,26,24,0,92.44,0.03
"84",14,"2005-2006","Non-Vegetation","Loss",5,0.05,0.11,11,6,0,53.05,0.03
"85",15,"2006-2007","Forest","Loss",756,0.26,0.22,640,116,15.31,0,0.02
"86",15,"2006-2007","Mosaic Vegetation","Loss",35,0.09,0.22,90,55,0,61.2,0.02
"87",15,"2006-2007","Shrubland","Loss",231,0.22,0.22,235,4,0,1.77,0.02
"88",15,"2006-2007","Other Vegetation","Loss",2,0.18,0.22,2,0,0,17.75,0.02
"89",15,"2006-2007","Cropland","Loss",5,0.02,0.22,53,48,0,90.65,0.02
"90",15,"2006-2007","Non-Vegetation","Loss",14,0.14,0.22,21,7,0,34.71,0.02
"91",16,"2007-2008","Forest","Loss",562,0.19,0.19,549,13,2.28,0,0.02
"92",16,"2007-2008","Mosaic Vegetation","Loss",38,0.09,0.19,78,40,0,51.26,0.02
"93",16,"2007-2008","Shrubland","Loss",271,0.25,0.19,202,69,25.34,0,0.02
"94",16,"2007-2008","Other Vegetation","Loss",0,0,0.19,2,2,0,100,0.02
"95",16,"2007-2008","Cropland","Loss",20,0.08,0.19,46,26,0,56.56,0.02
"96",16,"2007-2008","Non-Vegetation","Loss",5,0.05,0.19,18,13,0,72.84,0.02
"97",17,"2008-2009","Forest","Loss",889,0.31,0.23,670,219,24.59,0,0.05
"98",17,"2008-2009","Mosaic Vegetation","Loss",41,0.1,0.23,96,55,0,57.36,0.05
"99",17,"2008-2009","Shrubland","Loss",124,0.12,0.23,248,124,0,49.97,0.05
"100",17,"2008-2009","Other Vegetation","Loss",0,0,0.23,3,3,0,100,0.05
"101",17,"2008-2009","Cropland","Loss",16,0.07,0.23,57,41,0,71.69,0.05
"102",17,"2008-2009","Non-Vegetation","Loss",26,0.27,0.23,22,4,13.57,0,0.05
"103",18,"2009-2010","Forest","Loss",1407,0.49,0.34,989,418,29.68,0,0.09
"104",18,"2009-2010","Mosaic Vegetation","Loss",31,0.07,0.34,144,113,0,78.49,0.09
"105",18,"2009-2010","Shrubland","Loss",172,0.16,0.34,368,196,0,53.3,0.09
"106",18,"2009-2010","Other Vegetation","Loss",5,0.45,0.34,4,1,23.89,0,0.09
"107",18,"2009-2010","Cropland","Loss",7,0.03,0.34,84,77,0,91.66,0.09
"108",18,"2009-2010","Non-Vegetation","Loss",1,0.01,0.34,33,32,0,97,0.09
"109",19,"2010-2011","Forest","Loss",1199,0.42,0.29,830,369,30.74,0,0.08
"110",19,"2010-2011","Mosaic Vegetation","Loss",29,0.07,0.29,123,94,0,76.42,0.08
"111",19,"2010-2011","Shrubland","Loss",103,0.1,0.29,312,209,0,67.03,0.08
"112",19,"2010-2011","Other Vegetation","Loss",3,0.27,0.29,3,0,0,6.25,0.08
"113",19,"2010-2011","Cropland","Loss",24,0.1,0.29,71,47,0,66.21,0.08
"114",19,"2010-2011","Non-Vegetation","Loss",10,0.1,0.29,28,18,0,64.35,0.08
"115",20,"2011-2012","Forest","Loss",179,0.06,0.1,291,112,0,38.42,0.03
"116",20,"2011-2012","Mosaic Vegetation","Loss",33,0.08,0.1,43,10,0,24.01,0.03
"117",20,"2011-2012","Shrubland","Loss",260,0.24,0.1,110,150,57.74,0,0.03
"118",20,"2011-2012","Other Vegetation","Loss",2,0.18,0.1,1,1,43.46,0,0.03
"119",20,"2011-2012","Cropland","Loss",5,0.02,0.1,25,20,0,80.04,0.03
"120",20,"2011-2012","Non-Vegetation","Loss",1,0.01,0.1,10,9,0,89.82,0.03
"121",21,"2012-2013","Forest","Loss",524,0.18,0.13,379,145,27.74,0,0.03
"122",21,"2012-2013","Mosaic Vegetation","Loss",14,0.03,0.13,57,43,0,75.34,0.03
"123",21,"2012-2013","Shrubland","Loss",61,0.06,0.13,143,82,0,57.46,0.03
"124",21,"2012-2013","Other Vegetation","Loss",2,0.18,0.13,1,1,26.37,0,0.03
"125",21,"2012-2013","Cropland","Loss",25,0.1,0.13,33,8,0,24.09,0.03
"126",21,"2012-2013","Non-Vegetation","Loss",0,0,0.13,13,13,0,100,0.03
"127",22,"2013-2014","Forest","Loss",1076,0.38,0.26,743,333,30.96,0,0.07
"128",22,"2013-2014","Mosaic Vegetation","Loss",27,0.06,0.26,112,85,0,75.94,0.07
"129",22,"2013-2014","Shrubland","Loss",67,0.06,0.26,283,216,0,76.31,0.07
"130",22,"2013-2014","Other Vegetation","Loss",0,0,0.26,3,3,0,100,0.07
"131",22,"2013-2014","Cropland","Loss",60,0.24,0.26,65,5,0,7.55,0.07
"132",22,"2013-2014","Non-Vegetation","Loss",1,0.01,0.26,25,24,0,96.05,0.07
"133",23,"2014-2015","Forest","Loss",0,0,0,1,1,0,100,0
"134",23,"2014-2015","Mosaic Vegetation","Loss",0,0,0,0,0,0,100,0
"135",23,"2014-2015","Shrubland","Loss",0,0,0,0,0,0,100,0
"136",23,"2014-2015","Other Vegetation","Loss",1,0.09,0,0,1,99.76,0,0
"137",23,"2014-2015","Cropland","Loss",0,0,0,0,0,0,100,0
"138",23,"2014-2015","Non-Vegetation","Loss",0,0,0,0,0,0,100,0
"139",1,"1992-1993","Forest","Gain",0,0,0,0,0,0,0,0
"140",1,"1992-1993","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"141",1,"1992-1993","Shrubland","Gain",0,0,0,0,0,0,0,0
"142",1,"1992-1993","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"143",1,"1992-1993","Cropland","Gain",0,0,0,0,0,0,0,0
"144",1,"1992-1993","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
"145",2,"1993-1994","Forest","Gain",0,0,0,1,1,0,100,0
"146",2,"1993-1994","Mosaic Vegetation","Gain",0,0,0,0,0,0,100,0
"147",2,"1993-1994","Shrubland","Gain",0,0,0,0,0,0,100,0
"148",2,"1993-1994","Other Vegetation","Gain",0,0,0,0,0,0,100,0
"149",2,"1993-1994","Cropland","Gain",0,0,0,0,0,0,100,0
"150",2,"1993-1994","Non-Vegetation","Gain",1,0.01,0,0,1,97.89,0,0
"151",3,"1994-1995","Forest","Gain",215,0.06,0.67,2442,2227,0,91.2,0.48
"152",3,"1994-1995","Mosaic Vegetation","Gain",523,2.19,0.67,159,364,69.67,0,0.48
"153",3,"1994-1995","Shrubland","Gain",821,1.37,0.67,400,421,51.31,0,0.48
"154",3,"1994-1995","Other Vegetation","Gain",47,4.65,0.67,7,40,86.09,0,0.48
"155",3,"1994-1995","Cropland","Gain",1585,8.37,0.67,118,1467,92.57,0,0.48
"156",3,"1994-1995","Non-Vegetation","Gain",0,0,0.67,66,66,0,100,0.48
"157",4,"1995-1996","Forest","Gain",38,0.01,0.18,657,619,0,94.22,0.13
"158",4,"1995-1996","Mosaic Vegetation","Gain",219,0.91,0.18,44,175,80.05,0,0.13
"159",4,"1995-1996","Shrubland","Gain",328,0.55,0.18,109,219,66.73,0,0.13
"160",4,"1995-1996","Other Vegetation","Gain",0,0,0.18,2,2,0,100,0.13
"161",4,"1995-1996","Cropland","Gain",279,1.45,0.18,35,244,87.58,0,0.13
"162",4,"1995-1996","Non-Vegetation","Gain",0,0,0.18,18,18,0,100,0.13
"163",5,"1996-1997","Forest","Gain",1,0,0.34,1209,1208,0,99.92,0.26
"164",5,"1996-1997","Mosaic Vegetation","Gain",342,1.4,0.34,82,260,76.16,0,0.26
"165",5,"1996-1997","Shrubland","Gain",695,1.15,0.34,203,492,70.83,0,0.26
"166",5,"1996-1997","Other Vegetation","Gain",15,1.46,0.34,3,12,77.23,0,0.26
"167",5,"1996-1997","Cropland","Gain",540,2.73,0.34,65,475,87.96,0,0.26
"168",5,"1996-1997","Non-Vegetation","Gain",2,0.02,0.34,33,31,0,93.92,0.26
"169",6,"1997-1998","Forest","Gain",14,0,1.58,5623,5609,0,99.75,1.22
"170",6,"1997-1998","Mosaic Vegetation","Gain",2109,7.94,1.58,392,1717,81.39,0,1.22
"171",6,"1997-1998","Shrubland","Gain",3985,6.18,1.58,970,3015,75.65,0,1.22
"172",6,"1997-1998","Other Vegetation","Gain",18,1.73,1.58,16,2,8.63,0,1.22
"173",6,"1997-1998","Cropland","Gain",1343,6.36,1.58,317,1026,76.39,0,1.22
"174",6,"1997-1998","Non-Vegetation","Gain",6,0.06,1.58,156,150,0,96.16,1.22
"175",7,"1998-1999","Forest","Gain",2,0,1.18,4110,4108,0,99.95,0.89
"176",7,"1998-1999","Mosaic Vegetation","Gain",1527,5.44,1.18,316,1211,79.27,0,0.89
"177",7,"1998-1999","Shrubland","Gain",3384,4.99,1.18,767,2617,77.34,0,0.89
"178",7,"1998-1999","Other Vegetation","Gain",17,1.6,1.18,12,5,26.9,0,0.89
"179",7,"1998-1999","Cropland","Gain",638,2.93,1.18,251,387,60.59,0,0.89
"180",7,"1998-1999","Non-Vegetation","Gain",5,0.05,1.18,116,111,0,95.69,0.89
"181",8,"1999-2000","Forest","Gain",6,0,2.77,9462,9456,0,99.94,2.06
"182",8,"1999-2000","Mosaic Vegetation","Gain",3165,10.13,2.77,801,2364,74.7,0,2.06
"183",8,"1999-2000","Shrubland","Gain",9153,11.92,2.77,1929,7224,78.93,0,2.06
"184",8,"1999-2000","Other Vegetation","Gain",1,0.09,2.77,30,29,0,96.69,2.06
"185",8,"1999-2000","Cropland","Gain",786,3.49,2.77,620,166,21.15,0,2.06
"186",8,"1999-2000","Non-Vegetation","Gain",8,0.08,2.77,278,270,0,97.12,2.06
"187",9,"2000-2001","Forest","Gain",7,0,2.33,7665,7658,0,99.91,1.67
"188",9,"2000-2001","Mosaic Vegetation","Gain",3139,9.13,2.33,746,2393,76.24,0,1.67
"189",9,"2000-2001","Shrubland","Gain",7287,8.69,2.33,1826,5461,74.94,0,1.67
"190",9,"2000-2001","Other Vegetation","Gain",3,0.28,2.33,25,22,0,88.15,1.67
"191",9,"2000-2001","Cropland","Gain",597,2.58,2.33,538,59,9.95,0,1.67
"192",9,"2000-2001","Non-Vegetation","Gain",0,0,2.33,232,232,0,100,1.67
"193",10,"2001-2002","Forest","Gain",1,0,3.25,10271,10270,0,99.99,2.3
"194",10,"2001-2002","Mosaic Vegetation","Gain",3573,9.41,3.25,1155,2418,67.68,0,2.3
"195",10,"2001-2002","Shrubland","Gain",11275,11.86,3.25,2813,8462,75.05,0,2.3
"196",10,"2001-2002","Other Vegetation","Gain",36,3.27,3.25,36,0,0.76,0,2.3
"197",10,"2001-2002","Cropland","Gain",491,2.08,3.25,776,285,0,36.76,2.3
"198",10,"2001-2002","Non-Vegetation","Gain",1,0.01,3.25,327,326,0,99.69,2.3
"199",11,"2002-2003","Forest","Gain",165,0.05,0.37,1116,951,0,85.21,0.21
"200",11,"2002-2003","Mosaic Vegetation","Gain",409,1.07,0.37,139,270,65.99,0,0.21
"201",11,"2002-2003","Shrubland","Gain",1025,1.07,0.37,348,677,66.08,0,0.21
"202",11,"2002-2003","Other Vegetation","Gain",0,0,0.37,4,4,0,100,0.21
