Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
15, 1, 2, Forest, Other Vegetation, 1300, 
15, 1, 3, Forest, Cropland, 53, 
15, 1, 4, Forest, Non-Forest, 2, 
15, 2, 1, Other Vegetation, Forest, 458, 
15, 2, 2, Other Vegetation, Other Vegetation, 533732, 
15, 2, 3, Other Vegetation, Cropland, 166, 
15, 2, 4, Other Vegetation, Non-Forest, 5, 
15, 3, 1, Cropland, Forest, 22, 
15, 3, 2, Cropland, Other Vegetation, 1, 
15, 3, 3, Cropland, Cropland, 332305, 
15, 3, 4, Cropland, Non-Forest, 79, 
15, 4, 1, Non-Forest, Forest, 146, 
15, 4, 2, Non-Forest, Other Vegetation, 26, 
15, 4, 3, Non-Forest, Cropland, 19, 
15, 4, 4, Non-Forest, Non-Forest, 1506258, 
16, 1, 1, Forest, Forest, 519967, 
16, 1, 2, Forest, Other Vegetation, 1127, 
16, 1, 3, Forest, Cropland, 42, 
16, 1, 4, Forest, Non-Forest, 32, 
16, 2, 1, Other Vegetation, Forest, 347, 
16, 2, 2, Other Vegetation, Other Vegetation, 534566, 
16, 2, 3, Other Vegetation, Cropland, 143, 
16, 2, 4, Other Vegetation, Non-Forest, 3, 
16, 3, 1, Cropland, Forest, 39, 
16, 3, 2, Cropland, Other Vegetation, 2, 
16, 3, 3, Cropland, Cropland, 332419, 
16, 3, 4, Cropland, Non-Forest, 83, 
16, 4, 1, Non-Forest, Forest, 92, 
16, 4, 2, Non-Forest, Other Vegetation, 2, 
16, 4, 3, Non-Forest, Cropland, 16, 
16, 4, 4, Non-Forest, Non-Forest, 1506234, 
17, 1, 1, Forest, Forest, 518940, 
17, 1, 2, Forest, Other Vegetation, 1400, 
17, 1, 3, Forest, Cropland, 91, 
17, 1, 4, Forest, Non-Forest, 14, 
17, 2, 1, Other Vegetation, Forest, 240, 
17, 2, 2, Other Vegetation, Other Vegetation, 535406, 
17, 2, 3, Other Vegetation, Cropland, 45, 
17, 2, 4, Other Vegetation, Non-Forest, 6, 
17, 3, 1, Cropland, Forest, 14, 
17, 3, 2, Cropland, Other Vegetation, 17, 
17, 3, 3, Cropland, Cropland, 332507, 
17, 3, 4, Cropland, Non-Forest, 82, 
17, 4, 1, Non-Forest, Forest, 105, 
17, 4, 2, Non-Forest, Other Vegetation, 11, 
17, 4, 3, Non-Forest, Cropland, 16, 
17, 4, 4, Non-Forest, Non-Forest, 1506220, 
18, 1, 1, Forest, Forest, 516666, 
18, 1, 2, Forest, Other Vegetation, 2483, 
18, 1, 3, Forest, Cropland, 129, 
18, 1, 4, Forest, Non-Forest, 21, 
18, 2, 1, Other Vegetation, Forest, 311, 
18, 2, 2, Other Vegetation, Other Vegetation, 536402, 
18, 2, 3, Other Vegetation, Cropland, 115, 
18, 2, 4, Other Vegetation, Non-Forest, 6, 
