"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"112",19,"2010-2011","Other Vegetation","Loss",3,0.35,0.18,2,1,47.68,0,0.05
"113",19,"2010-2011","Cropland","Loss",3,0.03,0.18,19,16,0,84.08,0.05
"114",19,"2010-2011","Non-Vegetation","Loss",7,0.57,0.18,2,5,68.18,0,0.05
"115",20,"2011-2012","Forest","Loss",94,0.12,0.22,176,82,0,46.49,0.09
"116",20,"2011-2012","Mosaic Vegetation","Loss",17,0.09,0.22,43,26,0,60.69,0.09
"117",20,"2011-2012","Shrubland","Loss",239,0.51,0.22,104,135,56.69,0,0.09
"118",20,"2011-2012","Other Vegetation","Loss",0,0,0.22,2,2,0,100,0.09
"119",20,"2011-2012","Cropland","Loss",0,0,0.22,23,23,0,100,0.09
"120",20,"2011-2012","Non-Vegetation","Loss",0,0,0.22,3,3,0,100,0.09
"121",21,"2012-2013","Forest","Loss",93,0.12,0.08,60,33,35.91,0,0.02
"122",21,"2012-2013","Mosaic Vegetation","Loss",5,0.03,0.08,15,10,0,66.02,0.02
"123",21,"2012-2013","Shrubland","Loss",12,0.03,0.08,35,23,0,65.88,0.02
"124",21,"2012-2013","Other Vegetation","Loss",0,0,0.08,1,1,0,100,0.02
"125",21,"2012-2013","Cropland","Loss",9,0.09,0.08,8,1,11.69,0,0.02
"126",21,"2012-2013","Non-Vegetation","Loss",0,0,0.08,1,1,0,100,0.02
"127",22,"2013-2014","Forest","Loss",257,0.32,0.2,156,101,39.32,0,0.06
"128",22,"2013-2014","Mosaic Vegetation","Loss",7,0.04,0.2,39,32,0,81.92,0.06
"129",22,"2013-2014","Shrubland","Loss",31,0.07,0.2,92,61,0,66.43,0.06
"130",22,"2013-2014","Other Vegetation","Loss",0,0,0.2,2,2,0,100,0.06
"131",22,"2013-2014","Cropland","Loss",17,0.16,0.2,21,4,0,18.41,0.06
"132",22,"2013-2014","Non-Vegetation","Loss",0,0,0.2,2,2,0,100,0.06
"133",23,"2014-2015","Forest","Loss",0,0,0,0,0,0,0,0
"134",23,"2014-2015","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"135",23,"2014-2015","Shrubland","Loss",0,0,0,0,0,0,0,0
"136",23,"2014-2015","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"137",23,"2014-2015","Cropland","Loss",0,0,0,0,0,0,0,0
"138",23,"2014-2015","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"139",1,"1992-1993","Forest","Gain",0,0,0,0,0,0,0,0
"140",1,"1992-1993","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"141",1,"1992-1993","Shrubland","Gain",0,0,0,0,0,0,0,0
"142",1,"1992-1993","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"143",1,"1992-1993","Cropland","Gain",0,0,0,0,0,0,0,0
"144",1,"1992-1993","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
"145",2,"1993-1994","Forest","Gain",0,0,0,1,1,0,100,0
"146",2,"1993-1994","Mosaic Vegetation","Gain",0,0,0,0,0,0,100,0
"147",2,"1993-1994","Shrubland","Gain",0,0,0,0,0,0,100,0
"148",2,"1993-1994","Other Vegetation","Gain",0,0,0,0,0,0,100,0
"149",2,"1993-1994","Cropland","Gain",0,0,0,0,0,0,100,0
"150",2,"1993-1994","Non-Vegetation","Gain",1,0.08,0,0,1,99.18,0,0
"151",3,"1994-1995","Forest","Gain",58,0.05,0.72,772,714,0,92.49,0.46
"152",3,"1994-1995","Mosaic Vegetation","Gain",177,1.53,0.72,82,95,53.47,0,0.46
"153",3,"1994-1995","Shrubland","Gain",337,1.17,0.72,205,132,39.19,0,0.46
"154",3,"1994-1995","Other Vegetation","Gain",33,4.24,0.72,5,28,83.67,0,0.46
"155",3,"1994-1995","Cropland","Gain",530,5.85,0.72,62,468,88.38,0,0.46
"156",3,"1994-1995","Non-Vegetation","Gain",0,0,0.72,9,9,0,100,0.46
"157",4,"1995-1996","Forest","Gain",27,0.03,0.24,261,234,0,89.64,0.15
"158",4,"1995-1996","Mosaic Vegetation","Gain",95,0.81,0.24,28,67,70.2,0,0.15
"159",4,"1995-1996","Shrubland","Gain",186,0.64,0.24,70,116,62.31,0,0.15
"160",4,"1995-1996","Other Vegetation","Gain",0,0,0.24,2,2,0,100,0.15
"161",4,"1995-1996","Cropland","Gain",78,0.85,0.24,22,56,71.61,0,0.15
"162",4,"1995-1996","Non-Vegetation","Gain",0,0,0.24,3,3,0,100,0.15
"163",5,"1996-1997","Forest","Gain",1,0,0.48,510,509,0,99.8,0.32
"164",5,"1996-1997","Mosaic Vegetation","Gain",145,1.23,0.48,56,89,61.25,0,0.32
"165",5,"1996-1997","Shrubland","Gain",415,1.42,0.48,139,276,66.59,0,0.32
"166",5,"1996-1997","Other Vegetation","Gain",13,1.64,0.48,4,9,71.16,0,0.32
"167",5,"1996-1997","Cropland","Gain",183,1.96,0.48,44,139,75.98,0,0.32
"168",5,"1996-1997","Non-Vegetation","Gain",1,0.08,0.48,6,5,0,83.02,0.32
"169",6,"1997-1998","Forest","Gain",9,0.01,1.86,1954,1945,0,99.54,1.24
"170",6,"1997-1998","Mosaic Vegetation","Gain",623,5.01,1.86,224,399,64.04,0,1.24
"171",6,"1997-1998","Shrubland","Gain",2004,6.45,1.86,551,1453,72.49,0,1.24
"172",6,"1997-1998","Other Vegetation","Gain",18,2.22,1.86,15,3,16.6,0,1.24
"173",6,"1997-1998","Cropland","Gain",290,3.02,1.86,177,113,39.11,0,1.24
"174",6,"1997-1998","Non-Vegetation","Gain",0,0,1.86,23,23,0,100,1.24
"175",7,"1998-1999","Forest","Gain",2,0,1.6,1633,1631,0,99.88,1.06
"176",7,"1998-1999","Mosaic Vegetation","Gain",973,7.25,1.6,202,771,79.25,0,1.06
"177",7,"1998-1999","Shrubland","Gain",1406,4.34,1.6,503,903,64.22,0,1.06
"178",7,"1998-1999","Other Vegetation","Gain",12,1.46,1.6,13,1,0,8.7,1.06
"179",7,"1998-1999","Cropland","Gain",133,1.37,1.6,156,23,0,14.68,1.06
"180",7,"1998-1999","Non-Vegetation","Gain",1,0.08,1.6,20,19,0,94.97,1.06
"181",8,"1999-2000","Forest","Gain",6,0.01,3.11,3074,3068,0,99.8,2.07
"182",8,"1999-2000","Mosaic Vegetation","Gain",1261,8.59,3.11,430,831,65.87,0,2.07
"183",8,"1999-2000","Shrubland","Gain",3476,9.71,3.11,1036,2440,70.18,0,2.07
"184",8,"1999-2000","Other Vegetation","Gain",1,0.12,3.11,26,25,0,96.21,2.07
"185",8,"1999-2000","Cropland","Gain",172,1.74,3.11,312,140,0,44.93,2.07
"186",8,"1999-2000","Non-Vegetation","Gain",3,0.24,3.11,39,36,0,92.37,2.07
"187",9,"2000-2001","Forest","Gain",7,0.01,3.1,2914,2907,0,99.76,1.95
