Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
21,2,Mosaic Vegetation,27,0.3,0.15,13,14,50.59,0,0.06
21,3,Shrubland,38,0.21,0.15,27,11,28.58,0,0.06
21,4,Other Vegetation,0,0,0.15,0,0,0,100,0.06
21,5,Cropland,33,1.24,0.15,4,29,88.04,0,0.06
21,6,Non-Vegetation,8,0.24,0.15,5,3,37.18,0,0.06
22,1,Forest,31,0.05,0.22,142,111,0,78.23,0.12
22,2,Mosaic Vegetation,85,0.94,0.22,20,65,76.98,0,0.12
22,3,Shrubland,39,0.21,0.22,40,1,0,1.94,0.12
22,4,Other Vegetation,0,0,0.22,0,0,0,100,0.12
22,5,Cropland,56,2.07,0.22,6,50,89.6,0,0.12
22,6,Non-Vegetation,4,0.12,0.22,7,3,0,45.73,0.12
23,1,Forest,0,0,0,0,0,0,0,0
23,2,Mosaic Vegetation,0,0,0,0,0,0,0,0
23,3,Shrubland,0,0,0,0,0,0,0,0
23,4,Other Vegetation,0,0,0,0,0,0,0,0
23,5,Cropland,0,0,0,0,0,0,0,0
23,6,Non-Vegetation,0,0,0,0,0,0,0,0
