Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
19,1,Forest,215,0.27,0.18,145,70,32.74,0.00,0.05
19,2,Mosaic Vegetation,5,0.03,0.18,35,30,0.00,85.89,0.05
19,3,Shrubland,55,0.12,0.18,85,30,0.00,35.53,0.05
19,4,Other Vegetation,3,0.35,0.18,2,1,47.68,0.00,0.05
19,5,Cropland,3,0.03,0.18,19,16,0.00,84.08,0.05
19,6,Non-Vegetation,7,0.57,0.18,2,5,68.18,0.00,0.05
20,1,Forest,94,0.12,0.22,176,82,0.00,46.49,0.09
20,2,Mosaic Vegetation,17,0.09,0.22,43,26,0.00,60.69,0.09
20,3,Shrubland,239,0.51,0.22,104,135,56.69,0.00,0.09
20,4,Other Vegetation,0,0.00,0.22,2,2,0.00,100.00,0.09
20,5,Cropland,0,0.00,0.22,23,23,0.00,100.00,0.09
20,6,Non-Vegetation,0,0.00,0.22,3,3,0.00,100.00,0.09
21,1,Forest,93,0.12,0.08,60,33,35.91,0.00,0.02
21,2,Mosaic Vegetation,5,0.03,0.08,15,10,0.00,66.02,0.02
21,3,Shrubland,12,0.03,0.08,35,23,0.00,65.88,0.02
21,4,Other Vegetation,0,0.00,0.08,1,1,0.00,100.00,0.02
21,5,Cropland,9,0.09,0.08,8,1,11.69,0.00,0.02
21,6,Non-Vegetation,0,0.00,0.08,1,1,0.00,100.00,0.02
22,1,Forest,257,0.32,0.20,156,101,39.32,0.00,0.06
22,2,Mosaic Vegetation,7,0.04,0.20,39,32,0.00,81.92,0.06
22,3,Shrubland,31,0.07,0.20,92,61,0.00,66.43,0.06
22,4,Other Vegetation,0,0.00,0.20,2,2,0.00,100.00,0.06
22,5,Cropland,17,0.16,0.20,21,4,0.00,18.41,0.06
22,6,Non-Vegetation,0,0.00,0.20,2,2,0.00,100.00,0.06
23,1,Forest,0,0.00,0.00,0,0,0.00,0.00,0.00
23,2,Mosaic Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
23,3,Shrubland,0,0.00,0.00,0,0,0.00,0.00,0.00
23,4,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
23,5,Cropland,0,0.00,0.00,0,0,0.00,0.00,0.00
23,6,Non-Vegetation,0,0.00,0.00,0,0,0.00,0.00,0.00
