system:index,B10,B2,B3,B4,B5,B6,B7,ClassID,EVI,HH,HH_asm,HH_contrast,HH_corr,HH_diss,HH_ent,HH_idm,HH_savg,HH_var,LSWI,NDTI,NDVI,SATVI,random,.geo
1_1_1_1_2_26_1,297.3927,0.10861911,0.09947142,0.07995816,0.30110335,0.20154585,0.101571485,4,0.5721981125901461,-7.216735,0.10416666666666669,2795192.625,0.024643202419624352,1308.875,2.2821740957339185,3.8202356387718244E-5,-14922.999999999998,1610512.603298612,0.19806558,0.32982066,0.58033985,0.33439106716491346,0.44652166491585266,
1_1_1_1_2_26_2,297.37833,0.10365383,0.0881863,0.06406452,0.32524136,0.16646469,0.0739206,4,0.7004127753593693,-6.5401626,0.10416666666666669,9540717.0625,-0.06876920346003348,2056.8541666666665,2.2821740957339185,1.0715653269678552E-4,-15296.020833333332,4686365.71137153,0.32290974,0.38498232,0.67087823,0.3293368433688239,0.44652166491585266,
1_1_1_1_2_26_3,297.19843,0.09962952,0.08267091,0.056571886,0.32212085,0.17340311,0.06989053,4,0.7260746703805485,-6.1553583,0.10416666666666669,1.0204521416666666E7,-0.005117742242334744,2438.083333333333,2.2821740957339185,1.6013461490032275E-4,-17062.458333333332,5129173.344618052,0.30012217,0.4254636,0.7012254,0.3770941822181974,0.44652166491585266,
1_1_1_1_2_27_0,296.78375,0.104386225,0.090563215,0.06600876,0.3360388,0.18435667,0.08210231,4,0.7112082564889783,-7.211525,0.10416666666666669,3533735.895833333,-0.12341220706578979,1470.0625000000002,2.2821740957339185,8.613902021223513E-6,-15858.020833333332,1594776.4874131996,0.29147473,0.3837527,0.67163706,0.35769620141713043,0.044914179232468765,
1_1_1_1_2_27_1,296.4908,0.11225781,0.09791759,0.079018936,0.31503558,0.21368362,0.09981959,4,0.6229221682813914,-9.782911,0.10416666666666669,3320129.729166667,-0.09229679338967592,1393.5625,2.2821740957339185,1.531640073935221E-5,-17957.895833333332,1669100.0256076418,0.19169337,0.3631989,0.5989441,0.3600945905264427,0.044914179232468765,
1_1_1_1_2_28_0,300.7465,0.12066921,0.11261943,0.111941434,0.29401076,0.28086847,0.16579227,4,0.42914955166696844,-7.28393,0.10416666666666669,6245764.395833332,0.07959699300798584,1909.0208333333333,2.2821740957339185,2.953299171844504E-4,-15085.479166666666,3438597.4683159813,0.022860954,0.2576367,0.4484994,0.34864628234900275,0.0283989061532548,
1_1_1_1_2_28_1,300.92908,0.11868508,0.11340459,0.109800085,0.29052508,0.25999868,0.15145376,4,0.42656516640620395,-6.087091,0.10416666666666669,3455897.083333333,-0.03250710247292165,1489.0833333333335,2.2821740957339185,3.08355417647205E-4,-13097.25,1680490.690104168,0.05544974,0.26380914,0.4514455,0.3274686814404146,0.0283989061532548,
1_1_1_1_2_28_2,299.4587,0.113424316,0.100631505,0.08773438,0.294347,0.22840577,0.116045825,4,0.5324678104100369,-7.2718987,0.10416666666666669,3061738.708333333,0.027707494063684876,1405.9166666666665,2.2821740957339185,2.952427367733673E-4,-13256.791666666664,1727171.0512152761,0.12614226,0.32619953,0.5407555,0.35222837621843495,0.0283989061532548,
1_1_1_1_2_28_3,299.60526,0.10958064,0.09615572,0.07864808,0.30179393,0.21660829,0.10791466,4,0.5860983884821623,-4.2078643,0.10416666666666669,2592455.125,-0.20761882132014084,1359.4166666666667,2.2821740957339185,9.293575580020118E-4,-11675.458333333332,1064910.835069444,0.16432346,0.33493358,0.5865437,0.36511052249977294,0.0283989061532548,
1_1_1_1_2_29_0,297.43237,0.10706076,0.09573418,0.07303862,0.31423092,0.20477417,0.10001827,4,0.635046155518365,-7.9209695,0.10416666666666669,632652.2083333334,-0.08839884509584357,534.0416666666666,2.2821740957339185,4.3452258281901496E-4,-16746.375,260289.6163194552,0.21089725,0.34369585,0.62280214,0.36611021284148637,0.13571980190337551,
1_1_1_1_2_30_0,297.37115,0.101945564,0.09490782,0.077697404,0.37072024,0.22194819,0.10362718,4,0.6831560683267603,-9.973078,0.10416666666666669,988354.2083333333,-0.08294262771741154,821.9999999999999,2.2821740957339185,0.008345007181101921,-18109.5,451398.93663194776,0.2510207,0.36342126,0.65345967,0.3783395013251985,0.9159389126649594,
1_1_1_1_2_30_1,296.8343,0.09712521,0.08705047,0.055197563,0.40732622,0.20562164,0.083662406,4,0.8715430068691744,-9.759699,0.10416666666666669,562025.2916666666,-0.30618339046045473,618.9166666666666,2.2821740957339185,4.183212352796621E-5,-18627.708333333336,213922.43576389924,0.32907298,0.4215899,0.7613201,0.4411463310894462,0.9159389126649594,
1_1_1_1_2_30_2,296.5222,0.096175514,0.08533249,0.05155322,0.3670088,0.20425579,0.08073723,4,0.8257897881876354,-8.937444,0.10416666666666669,154440.625,-0.13091849290212948,341.625,2.2821740957339185,6.88580297870196E-5,-18554.458333333336,69391.47048611939,0.28489953,0.43340907,0.7536651,0.4547620530480024,0.9159389126649594,
1_1_1_1_2_32_0,297.30402,0.096372865,0.087070964,0.061279103,0.34895408,0.19265911,0.082769245,4,0.723650770519536,-7.5320644,0.10416666666666669,2290002.541666667,-0.08212298580234843,1058.0416666666665,2.2821740957339185,0.004213781363073835,-15423.166666666666,1055586.8576388918,0.28857306,0.39897802,0.70124745,0.39295247096563646,0.15414356289685693,
1_1_1_1_2_32_1,297.2201,0.0965839,0.08427605,0.05894834,0.36253235,0.16635962,0.068862505,4,0.7652016672469448,-7.535067,0.10416666666666669,754845.2291666667,-0.13173640584838303,676.2291666666666,2.2821740957339185,0.004238637454857866,-14447.770833333334,339969.086371528,0.37091267,0.41448957,0.72027975,0.3518330734475409,0.15414356289685693,
1_1_1_1_2_32_2,297.30283,0.09508398,0.08387333,0.061727084,0.34171814,0.17582929,0.0770527,4,0.700712834926439,-7.785581,0.10416666666666669,3665403.770833333,0.015636905256619555,1439.0625,2.2821740957339185,0.004210894773462448,-16092.604166666664,1866473.2582465243,0.32052878,0.3906035,0.6940002,0.35880372932533544,0.15414356289685693,
1_1_1_1_2_32_3,297.22488,0.095191404,0.08128588,0.052129872,0.36593327,0.14510834,0.057103533,4,0.8131501029039477,-6.1036363,0.10416666666666669,3328873.770833333,-0.2560959727235509,1284.7291666666665,2.2821740957339185,0.004235622385579469,-14289.895833333334,1422361.2443576418,0.43210754,0.43521088,0.75061244,0.3351575021419118,0.15414356289685693,
1_1_1_1_2_33_0,297.10715,0.09774425,0.08934547,0.061341666,0.33509302,0.21569777,0.08955456,4,0.7055002559977166,-8.276819,0.10416666666666669,521193.2083333333,-0.014967983906378421,595.5416666666666,2.2821740957339185,6.280124923010054E-5,-17876.041666666668,254136.3107638955,0.21677062,0.4132424,0.6905333,0.4319974243693262,0.20277548199524487,
1_1_1_1_2_33_1,297.51245,0.09764744,0.08639446,0.06273147,0.30760935,0.21126294,0.08752755,4,0.6433033592332839,-8.860588,0.10416666666666669,4515629.145833333,-0.13095452767522292,1538.6875,2.2821740957339185,1.023412082384276E-5,-16708.9375,1985785.2721354216,0.18568425,0.4141209,0.66122305,0.419483072292909,0.20277548199524487,
1_1_1_1_2_33_2,297.4909,0.09701121,0.08827627,0.059420876,0.34173575,0.21860144,0.092529126,4,0.7271082209066184,-8.436083,0.10416666666666669,1098111.2291666665,-0.29336758575230837,858.9791666666665,2.2821740957339185,1.184339944962426E-5,-17148.729166666668,413025.8172743097,0.21975039,0.4052071,0.7037522,0.4437150692136921,0.20277548199524487,
1_1_1_1_2_33_3,297.78494,0.09984796,0.08942528,0.06599903,0.31590867,0.23194802,0.0950844,4,0.648749831992298,-8.72833,0.10416666666666669,5741128.645833333,-0.13941704777047234,1906.6875,2.2821740957339185,5.492552513725178E-6,-17035.979166666664,2613553.9561631978,0.15325294,0.41850168,0.6543718,0.4388883049617448,0.20277548199524487,
1_1_1_1_2_34_0,297.14563,0.10803605,0.10206254,0.09871138,0.27063736,0.25611645,0.14341652,4,0.40832278055580695,-7.16256,0.10416666666666669,2497798.2708333335,0.19614746236490854,1207.8541666666667,2.2821740957339185,1.6926019282703554E-5,-13463.437499999998,1428697.6801215261,0.027566792,0.28207916,0.46548414,0.3558672618031892,0.8746335521250475,
1_1_1_1_2_34_1,297.16,0.11448127,0.11146933,0.11490949,0.26342452,0.2698586,0.15286708,4,0.33930099424736154,-7.902103,0.10416666666666669,1140539.6666666665,-0.35732057622720825,840.9583333333333,2.2821740957339185,4.8896393891739864E-5,-14707.208333333334,406011.5295138918,-0.012065042,0.27675518,0.39255002,0.32716820926037565,0.8746335521250475,
1_1_1_1_2_36_0,296.83054,0.09817764,0.08537285,0.06028934,0.34152624,0.20922206,0.08768942,4,0.727138764717677,-7.721433,0.10416666666666669,1018385.4583333333,-0.10846302652300999,783.2916666666666,2.2821740957339185,3.340751425954991E-5,-14415.833333333332,459867.95486111566,0.24022621,0.4093228,0.69991535,0.4256866897928237,0.6906258532950488,
