Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
3, 7, distance/distance_to_7, static_var/D_Mill, 528563.758156576, 0.141213723748047, 0.467170446210105, 6.03784902065454, 0.0456987279243955, 
3, 7, distance/distance_to_7, static_var/D_Rbr1996, 2891114.78383631, 0.330263730171185, 0.777354338901515, 3.97084139039209, 0.293938426462564, 
3, 7, distance/distance_to_7, static_var/D_Rbr2007, 18680106.4673733, 0.839494563596905, 0.95287679253179, 2.55021633660497, 0.8693061852684, 
3, 7, distance/distance_to_7, static_var/D_Rbr2016, 3231905.73413268, 0.349186590109332, 0.794098564847183, 3.91331639733901, 0.325435417368035, 
3, 7, distance/distance_to_7, static_var/D_River, 84539.2803755492, 0.0747096173732865, 0.206745297836767, 3.56684143374437, 0.012273991083313, 
3, 7, distance/distance_to_7, static_var/D_Road, 448306.56666335, 0.130051619480399, 0.437554508375013, 3.92681269257498, 0.0583638624873216, 
3, 7, distance/distance_to_7, static_var/D_Town, 638253.901151756, 0.155176143172901, 0.502116632878217, 3.44455380396818, 0.0924772044943667, 
3, 7, distance/distance_to_7, static_var/D_Vill, 885474.205041144, 0.182774738651481, 0.564498323158846, 3.7968386124911, 0.118441610056098, 
3, 7, distance/distance_to_7, static_var/Elev, 1286957.63555323, 0.260720006201386, 0.636139164601572, 3.40367312873473, 0.202844748156052, 
3, 7, distance/distance_to_7, static_var/OC000, 79786.4769976768, 0.0649167661038747, 0.201091380438623, 3.53646908869377, 0.0120271047564969, 
3, 7, distance/distance_to_7, static_var/PDn05, 703884.338285749, 0.248924279170763, 0.520595829615527, 3.74961738484374, 0.0937212316093043, 
3, 7, distance/distance_to_7, static_var/PDn15, 711914.676704956, 0.163886125370991, 0.52274950720613, 3.74580156078226, 0.0953576976446196, 
3, 7, distance/distance_to_7, static_var/PH000, 103938.874361198, 0.0626205992195822, 0.228126557874812, 4.14086161110296, 0.0134315536980218, 
3, 7, distance/distance_to_7, static_var/S_Txn, 715354.608132078, 0.164281592469359, 0.523665320624071, 4.41029497051175, 0.081201601838409, 
3, 7, distance/distance_to_7, static_var/Sd000, 141927.626852392, 0.111776389591593, 0.264075912843902, 3.49280531936868, 0.0213286464396926, 
3, 7, distance/distance_to_7, static_var/Slope, 400411.827859885, 0.187745724640922, 0.417816542819607, 3.82992379460303, 0.0586212392147723, 
3, 7, distance/distance_to_7, static_var/Tx000, 98039.3789945599, 0.131380793578054, 0.221885789250834, 3.02659537885467, 0.0171989412769474, 
3, 7, distance/distance_to_7, static_var/WC000, 310000.903797874, 0.122004927097835, 0.375099296086941, 4.24444560341163, 0.0390663246459606, 
3, 7, static_var/Acc00, static_var/Acc15, 14534275.5055109, 0.366144747362102, 0.807712648135018, 1.49961434833055, 0.583716088194491, 
