Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
4, 6, static_var/D_Mill, 113200, 113300, 95, 5, -0.00885081921600185, -0.00885719847252199, 0, 
4, 6, static_var/D_Mill, 113300, 113400, 93, 2, -0.936191387276742, -0.936636257407124, 0, 
4, 6, static_var/D_Mill, 113400, 113500, 109, 4, -0.38614505035747, -0.386415598111719, 0, 
4, 6, static_var/D_Mill, 113500, 113700, 195, 4, -0.984458128246576, -0.985420773243967, 0, 
4, 6, static_var/D_Mill, 113700, 113800, 95, 5, -0.00885081921600185, -0.00885719847252199, 0, 
4, 6, static_var/D_Mill, 113800, 114000, 215, 6, -0.669053844056593, -0.669874380847564, 0, 
4, 6, static_var/D_Mill, 114000, 114200, 223, 8, -0.409675547767664, -0.410257286477076, 0, 
4, 6, static_var/D_Mill, 114200, 114300, 107, 1, -1.7819181554319, -1.78262713327803, 0, 
4, 6, static_var/D_Mill, 114300, 114400, 105, 3, -0.644839585935999, -0.645229481723145, 0, 
4, 6, static_var/D_Mill, 114400, 114500, 116, 2, -1.16153032915439, -1.16216022730095, 0, 
4, 6, static_var/D_Mill, 114500, 114600, 110, 3, -0.692695607113634, -0.693125727029632, 0, 
4, 6, static_var/D_Mill, 114600, 114700, 114, 4, -0.432665065992363, -0.432975838846275, 0, 
4, 6, static_var/D_Mill, 114700, 114800, 108, 2, -1.08877097487196, -1.08933651156458, 0, 
4, 6, static_var/D_Mill, 114800, 114900, 103, 0, -13.4845312077827, 0, 0, 
4, 6, static_var/D_Mill, 114900, 115000, 97, 4, -0.264784193353203, -0.264958207469426, 0, 
4, 6, static_var/D_Mill, 115000, 115100, 103, 3, -0.625036958639819, -0.625410765228449, 0, 
4, 6, static_var/D_Mill, 115100, 115200, 98, 2, -0.989680072227728, -0.99016516292772, 0, 
4, 6, static_var/D_Mill, 115200, 115300, 108, 4, -0.376575599341319, -0.376838102269799, 0, 
4, 6, static_var/D_Mill, 115300, 115400, 105, 5, -0.114211334873828, -0.114298156240227, 0, 
4, 6, static_var/D_Mill, 115400, 115500, 106, 6, 0.0681102219201265, 0.0681669240559471, 0, 
4, 6, static_var/D_Mill, 115500, 115600, 100, 0, -13.454972447311, 0, 0, 
4, 6, static_var/D_Mill, 115600, 115700, 95, 1, -1.66177384358984, -1.66238628702138, 0, 
4, 6, static_var/D_Mill, 115700, 115800, 97, 0, -13.42451328418, 0, 0, 
4, 6, static_var/D_Mill, 115800, 116000, 208, 5, -0.822247127927524, -0.823162879819874, 0, 
4, 6, static_var/D_Mill, 116000, 116100, 107, 1, -1.7819181554319, -1.78262713327803, 0, 
4, 6, static_var/D_Mill, 116100, 116200, 110, 3, -0.692695607113634, -0.693125727029632, 0, 
4, 6, static_var/D_Mill, 116200, 116400, 214, 3, -1.37172490612779, -1.37299205496211, 1, 
4, 6, static_var/D_Mill, 116400, 116500, 114, 3, -0.729396973964062, -0.729859274348128, 0, 
4, 6, static_var/D_Mill, 116500, 116900, 450, 8, -1.1303474017177, -1.13275861317091, 1, 
4, 6, static_var/D_Mill, 116900, 117000, 118, 1, -1.88065299611759, -1.8814504720309, 0, 
4, 6, static_var/D_Mill, 117000, 117100, 106, 2, -1.06972277990126, -1.07027222687762, 0, 
4, 6, static_var/D_Mill, 117100, 117300, 229, 7, -0.575246294136803, -0.576027963032003, 0, 
4, 6, static_var/D_Mill, 117300, 117400, 107, 0, -13.5226310019652, 0, 0, 
