From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 5, static_var/Bio16, 3200, 0, 
3, 5, static_var/Bio16, 3300, 0, 
3, 5, static_var/Bio16, 3800, 0, 
3, 5, static_var/Bio16, 3900, 0, 
3, 5, static_var/Bio16, 4100, 0, 
3, 5, static_var/Bio16, 4200, 0, 
3, 5, static_var/Bio16, 4300, 0, 
3, 5, static_var/Bio16, 4400, 0, 
3, 5, static_var/Bio16, 4500, 0, 
3, 5, static_var/Bio16, 4800, 0, 
3, 5, static_var/Bio16, 5100, 0, 
3, 5, static_var/Bio17, 0, 0, 
3, 5, static_var/Bio17, 15, 0, 
3, 5, static_var/Bio17, 20, 0, 
3, 5, static_var/Bio17, 40, 0, 
3, 5, static_var/Bio17, 55, 0, 
3, 5, static_var/Bio17, 60, 0, 
3, 5, static_var/Bio17, 90, 0, 
3, 5, static_var/Bio17, 95, 0, 
3, 5, static_var/Bio17, 100, 0, 
3, 5, static_var/Bio17, 145, 0, 
3, 5, static_var/Bio17, 150, 0, 
3, 5, static_var/Bio17, 155, 0, 
3, 5, static_var/Bio18, 0, 0, 
3, 5, static_var/Bio18, 115, 0, 
3, 5, static_var/Bio18, 120, 0, 
3, 5, static_var/Bio18, 125, 0, 
3, 5, static_var/Bio18, 130, 0, 
3, 5, static_var/Bio18, 140, 0, 
3, 5, static_var/Bio18, 145, 0, 
3, 5, static_var/Bio18, 160, 0, 
3, 5, static_var/Bio18, 165, 0, 
3, 5, static_var/Bio18, 185, 0, 
3, 5, static_var/Bio18, 190, 0, 
3, 5, static_var/Bio18, 195, 0, 
3, 5, static_var/Bio18, 200, 0, 
3, 5, static_var/Bio18, 205, 0, 
3, 5, static_var/Bio18, 215, 0, 
3, 5, static_var/Bio18, 220, 0, 
3, 5, static_var/Bio18, 225, 0, 
3, 5, static_var/Bio18, 230, 0, 
3, 5, static_var/Bio18, 240, 0, 
3, 5, static_var/Bio18, 250, 0, 
3, 5, static_var/Bio18, 255, 0, 
3, 5, static_var/Bio18, 305, 0, 
3, 5, static_var/Bio18, 310, 0, 
3, 5, static_var/Bio18, 325, 0, 
3, 5, static_var/Bio19, 0, 0, 
3, 5, static_var/Bio19, 20, 0, 
3, 5, static_var/Bio19, 40, 0, 
3, 5, static_var/Bio19, 60, 0, 
3, 5, static_var/Bio19, 70, 0, 
3, 5, static_var/Bio19, 80, 0, 
3, 5, static_var/Bio19, 90, 0, 
3, 5, static_var/Bio19, 110, 0, 
3, 5, static_var/Bio19, 150, 0, 
3, 5, static_var/Bio19, 160, 0, 
3, 5, static_var/Bio19, 170, 0, 
3, 5, static_var/Bio19, 180, 0, 
3, 5, static_var/Cy000, 0, 0, 
3, 5, static_var/Cy000, 17, 0, 
3, 5, static_var/Cy000, 25, 0, 
3, 5, static_var/Cy000, 26, 0, 
3, 5, static_var/Cy000, 27, 0, 
3, 5, static_var/Cy000, 29, 0, 
3, 5, static_var/Cy000, 30, 0, 
3, 5, static_var/Cy000, 31, 0, 
3, 5, static_var/Cy000, 32, 0, 
3, 5, static_var/Cy000, 33, 0, 
3, 5, static_var/Cy000, 35, 0, 
3, 5, static_var/D_Mill, 0, 0, 
3, 5, static_var/D_Mill, 8000, 0, 
3, 5, static_var/D_Mill, 9500, 0, 
3, 5, static_var/D_Mill, 10000, 0, 
3, 5, static_var/D_Mill, 10500, 0, 
3, 5, static_var/D_Mill, 11000, 0, 
3, 5, static_var/D_Mill, 11500, 0, 
3, 5, static_var/D_Mill, 12000, 0, 
3, 5, static_var/D_Mill, 12500, 0, 
3, 5, static_var/D_Mill, 13000, 0, 
3, 5, static_var/D_Mill, 13500, 0, 
3, 5, static_var/D_Mill, 14000, 0, 
3, 5, static_var/D_Mill, 14500, 0, 
3, 5, static_var/D_Mill, 15000, 0, 
3, 5, static_var/D_Mill, 15500, 0, 
3, 5, static_var/D_Mill, 18500, 0, 
3, 5, static_var/D_Mill, 19000, 0, 
3, 5, static_var/D_Mill, 20000, 0, 
3, 5, static_var/D_Mill, 21500, 0, 
3, 5, static_var/D_Mill, 37000, 0, 
3, 5, static_var/D_Mill, 37500, 0, 
3, 5, static_var/D_Mill, 38000, 0, 
3, 5, static_var/D_Mill, 38500, 0, 
3, 5, static_var/D_Mill, 39000, 0, 
3, 5, static_var/D_Mill, 41500, 0, 
3, 5, static_var/D_Mill, 44000, 0, 
3, 5, static_var/D_Mill, 51000, 0, 
3, 5, static_var/D_Mill, 51500, 0, 
3, 5, static_var/D_Mill, 52000, 0, 
3, 5, static_var/D_Mill, 146500, 0, 
3, 5, static_var/D_Mill, 147000, 0, 
3, 5, static_var/D_Mill, 147500, 0, 
3, 5, static_var/D_Mill, 149000, 0, 
3, 5, static_var/D_Mill, 149500, 0, 
3, 5, static_var/D_Mill, 150000, 0, 
3, 5, static_var/D_Mill, 151500, 0, 
3, 5, static_var/D_Mill, 153000, 0, 
3, 5, static_var/D_Mill, 153500, 0, 
3, 5, static_var/D_Mill, 155000, 0, 
3, 5, static_var/D_Mill, 155500, 0, 
3, 5, static_var/D_Mill, 156000, 0, 
3, 5, static_var/D_Mill, 156500, 0, 
3, 5, static_var/D_Mill, 164500, 0, 
3, 5, static_var/D_Mill, 165500, 0, 
3, 5, static_var/D_Mill, 166000, 0, 
3, 5, static_var/D_Mill, 166500, 0, 
3, 5, static_var/D_Mill, 167000, 0, 
3, 5, static_var/D_Mill, 167500, 0, 
3, 5, static_var/D_Mill, 181500, 0, 
3, 5, static_var/D_Mill, 182000, 0, 
3, 5, static_var/D_Mill, 182500, 0, 
3, 5, static_var/D_Mill, 183500, 0, 
3, 5, static_var/D_Mill, 184000, 0, 
3, 5, static_var/D_Mill, 184500, 0, 
3, 5, static_var/D_Mill, 185000, 0, 
3, 5, static_var/D_Mill, 185500, 0, 
3, 5, static_var/D_Mill, 193500, 0, 
3, 5, static_var/D_Mill, 194500, 0, 
3, 5, static_var/D_Mill, 196000, 0, 
3, 5, static_var/D_Mill, 197000, 0, 
3, 5, static_var/D_Mill, 197500, 0, 
3, 5, static_var/D_Mill, 198000, 0, 
3, 5, static_var/D_Mill, 198500, 0, 
3, 5, static_var/D_Mill, 199000, 0, 
3, 5, static_var/D_Mill, 199500, 0, 
3, 5, static_var/D_Mill, 200000, 0, 
3, 5, static_var/D_Mill, 200500, 0, 
3, 5, static_var/D_Mill, 202500, 0, 
3, 5, static_var/D_Mill, 203000, 0, 
3, 5, static_var/D_Mill, 203500, 0, 
3, 5, static_var/D_Mill, 204500, 0, 
3, 5, static_var/D_Mill, 206500, 0, 
3, 5, static_var/D_Mill, 207000, 0, 
3, 5, static_var/D_Mill, 207500, 0, 
3, 5, static_var/D_Mill, 208000, 0, 
3, 5, static_var/D_Mill, 208500, 0, 
3, 5, static_var/D_Mill, 210000, 0, 
3, 5, static_var/D_Mill, 210500, 0, 
3, 5, static_var/D_Mill, 211000, 0, 
3, 5, static_var/D_Mill, 211500, 0, 
3, 5, static_var/D_Mill, 212000, 0, 
3, 5, static_var/D_Mill, 212500, 0, 
3, 5, static_var/D_Mill, 213000, 0, 
3, 5, static_var/D_Mill, 213500, 0, 
3, 5, static_var/D_Mill, 214000, 0, 
3, 5, static_var/D_Mill, 215000, 0, 
3, 5, static_var/D_Mill, 215500, 0, 
3, 5, static_var/D_Mill, 216000, 0, 
3, 5, static_var/D_Mill, 220500, 0, 
3, 5, static_var/D_Mill, 221000, 0, 
3, 5, static_var/D_Mill, 223000, 0, 
3, 5, static_var/D_Mill, 223500, 0, 
3, 5, static_var/D_Mill, 224000, 0, 
3, 5, static_var/D_Mill, 224500, 0, 
3, 5, static_var/D_Mill, 230000, 0, 
3, 5, static_var/D_Mill, 230500, 0, 
3, 5, static_var/D_Mill, 237000, 0, 
3, 5, static_var/D_Mill, 237500, 0, 
3, 5, static_var/D_Mill, 238500, 0, 
3, 5, static_var/D_Mill, 239000, 0, 
3, 5, static_var/D_Mill, 239500, 0, 
3, 5, static_var/D_Mill, 243500, 0, 
3, 5, static_var/D_Mill, 244000, 0, 
3, 5, static_var/D_Mill, 246500, 0, 
3, 5, static_var/D_Mill, 247000, 0, 
3, 5, static_var/D_Mill, 247500, 0, 
3, 5, static_var/D_Mill, 248000, 0, 
3, 5, static_var/D_Mill, 249500, 0, 
3, 5, static_var/D_Mill, 250500, 0, 
3, 5, static_var/D_Mill, 252000, 0, 
3, 5, static_var/D_Mill, 252500, 0, 
3, 5, static_var/D_Mill, 271000, 0, 
3, 5, static_var/D_Mill, 271500, 0, 
3, 5, static_var/D_Mill, 272000, 0, 
3, 5, static_var/D_Mill, 272500, 0, 
